Ball of foot m,Bridge m,Heel m,Calf m,Inner shin m,Outer shin m,acc x m,acc y m,acc z m,gyro x m,gyro y m,gyro z m,Ball of foot s,Bridge s,Heel s,Calf s,Inner shin s,Outer shin s,acc x s,acc y s,acc z s,gyro x s,gyro y s,gyro z s
497,510,509,508,425,368,-364,-116,180,-3475,4317,-2443,513,508,501,476,483,507,716,256,12,2188,-8106,-3486
506,510,509,509,433,374,116,-52,-4,-4691,9189,1762,513,508,501,476,479,507,-24,324,144,1235,-7942,-6142
498,510,509,508,448,371,-288,-20,68,-4190,13344,-3215,513,508,502,480,475,508,120,-144,-188,394,-7959,-1952
503,510,509,508,454,394,-76,-44,4,-662,10135,-835,513,508,502,479,478,507,96,220,-40,1282,-7088,-5340
507,510,509,508,465,398,-408,-240,260,-331,7029,-877,513,508,501,479,479,509,112,224,48,1240,-4592,-1495
508,510,509,505,465,405,-308,-308,-48,-2475,922,64,483,508,495,475,468,495,492,-52,-212,-414,-4235,-2592
509,510,509,504,467,395,-60,-64,132,2081,4893,1230,465,508,496,472,463,495,460,280,-96,-201,-4972,-2099
509,510,509,508,464,397,-172,-260,308,4653,3526,424,419,508,503,475,458,490,972,-756,380,-1482,-5739,610
509,510,509,508,462,399,8,-368,84,3691,372,5704,420,508,500,477,422,486,760,-276,-56,-1750,-5520,1823
508,510,509,507,457,394,-472,128,508,2191,-225,-5055,460,508,496,469,462,497,300,124,192,-2707,-2739,3982
509,510,509,507,459,386,4,-340,16,612,5245,4047,474,508,496,476,465,500,460,-80,340,-2444,-4439,5735
509,510,509,508,464,381,-472,44,360,2247,5225,4994,458,508,499,480,486,505,-256,-296,188,-1111,-2047,2297
509,510,509,508,464,378,20,-684,460,6827,1931,4995,445,508,495,480,481,504,400,-108,32,-3017,-1352,2689
509,510,509,508,458,380,-352,-112,28,4385,2154,2497,479,508,492,479,479,504,236,-392,460,-2445,-1788,3888
509,510,509,508,455,379,-696,-84,60,2890,-1531,-2777,481,508,492,479,473,504,852,-504,352,-1946,-1732,3915
509,510,509,508,459,368,-108,-144,244,2719,1229,4387,469,508,491,480,479,499,44,292,804,-2930,-1692,1857
509,510,509,507,462,350,-192,-188,284,3632,204,-628,439,508,498,478,474,495,440,-156,200,-3668,1,2683
509,510,509,507,462,348,-760,-312,232,4113,655,3232,481,508,498,477,472,500,208,104,192,-3605,2244,3656
509,510,509,507,461,346,-40,-284,16,4563,-2871,802,499,508,496,477,477,495,824,-120,108,-4348,5163,6609
509,510,509,507,455,350,-200,-8,64,7055,-8843,507,512,508,498,475,474,497,84,244,-36,-4103,7747,5032
509,510,509,508,450,355,-144,24,216,8070,-9059,2903,512,508,499,475,473,501,152,52,68,-2309,7572,4713
509,510,509,509,428,354,148,-152,256,2972,-9613,4919,512,508,498,474,473,500,-44,28,128,-1252,10108,5280
507,510,509,508,428,350,-364,-8,16,2427,-9778,828,513,508,497,473,466,503,240,144,124,2541,8235,6854
496,510,509,508,446,347,-280,-144,396,-1049,-8188,2329,513,504,494,472,466,491,440,-16,-284,3790,5830,5522
507,510,509,508,454,342,-260,40,-112,-639,10,3962,513,502,495,471,463,495,540,-380,32,1630,1486,2487
506,510,509,508,463,333,-188,148,364,2839,-4922,3703,508,496,494,470,466,481,316,544,356,1677,-4946,-2995
507,510,509,507,466,324,-224,-476,-180,-4448,-1859,-1359,512,507,497,470,459,500,348,-24,444,-1087,737,1567
477,510,509,507,454,348,-700,-236,632,-8,-13051,-6784,512,506,496,474,466,499,716,-88,404,3499,1403,5951
