Ball of foot m,Bridge m,Heel m,Calf m,Inner shin m,Outer shin m,acc x m,acc y m,acc z m,gyro x m,gyro y m,gyro z m,Ball of foot s,Bridge s,Heel s,Calf s,Inner shin s,Outer shin s,acc x s,acc y s,acc z s,gyro x s,gyro y s,gyro z s
515.58,493.82,297.93,485.48,208.82,258.26,254.31,122.73,-36.92,-1186.5,-1364,906,455.99,485.37,502.3,428.85,138.29,363.94,251.33,-39.994,-103.26,-1219.1,-66.53,1827.2
515.14,493.91,303.64,485.31,209.32,258.1,287.52,158.47,-58.223,-1451.2,-1979,1273.3,455.61,485.05,502.26,429.19,129.04,364.47,228.69,-86.812,-82.902,-1745.8,-188.23,2353.6
514.62,493.9,309.64,485.14,209.82,257.93,332.11,200.06,-66.249,-1810.7,-2543.8,1626,455.39,484.75,502.22,429.48,120.53,364.98,201.24,-111.85,-47.56,-2263.6,-307.06,2870.3
514.02,493.8,315.85,484.97,210.31,257.77,380.33,235.24,-58.964,-2194.5,-2962,1907.7,455.32,484.48,502.18,429.73,112.77,365.48,173.66,-109.97,-5.0283,-2710.1,-400.69,3307
513.39,493.63,322.23,484.81,210.8,257.6,421.32,253.38,-39.503,-2525.8,-3160.4,2069.1,455.42,484.25,502.14,429.95,105.79,365.96,150.92,-81.965,34.427,-3030.7,-448.74,3599.6
512.73,493.42,328.71,484.67,211.27,257.43,444.23,249.86,-15.06,-2739.4,-3103.4,2079.6,455.69,484.05,502.1,430.12,99.568,366.45,137.09,-34.121,61.298,-3185.8,-436.29,3701.1
512.07,493.17,335.24,484.53,211.73,257.26,441.96,227.79,5.7754,-2796.7,-2798.8,1933.6,456.12,483.88,502.06,430.27,94.1,366.94,134.33,23.316,69.619,-3157.1,-356.79,3589.5
511.41,492.89,341.77,484.41,212.18,257.09,414.09,196.15,16.154,-2693.8,-2294.5,1653.3,456.71,483.74,502.03,430.39,89.361,367.44,142.31,78.654,58.359,-2950.8,-213.62,3271.8
510.78,492.6,348.24,484.3,212.6,256.91,367.52,165.48,13.348,-2461.8,-1667.4,1283.3,457.45,483.63,501.99,430.48,85.322,367.96,158.5,121.59,31.123,-2597.1,-20.076,2783.9
510.18,492.31,354.62,484.21,213,256.74,314.33,143.34,-0.51166,-2157.9,-1007.5,881.34,458.35,483.56,501.96,430.56,81.944,368.49,179.06,145.67,-5.4752,-2146.6,202.43,2184.3
509.62,492.01,360.87,484.14,213.38,256.56,267.61,131.9,-19.567,-1851.2,-400.28,506.53,459.39,483.51,501.93,430.62,79.183,369.05,200.06,149.69,-43.989,-1662.6,427.61,1545.5
